segment	tone	stress	syllabic	short	long	consonantal	sonorant	continuant	delayedRelease	approximant	tap	trill	nasal	lateral	labial	round	labiodental	coronal	anterior	distributed	strident	dorsal	high	low	front	back	tense	retractedTongueRoot	advancedTongueRoot	periodicGlottalSource	epilaryngealSource	spreadGlottis	constrictedGlottis	fortis	raisedLarynxEjective	loweredLarynxImplosive	click	sonority	tone_contour	tone_high	tone_central	tone_mid	tone_rising	tone_falling	tone_convex
p	0	-	-	-	-	+	-	-	-	-	-	-	-	-	+	-	-	-	0	0	0	-	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-	1	0	0	0	0	0	0	0
b	0	-	-	-	-	+	-	-	-	-	-	-	-	-	+	-	-	-	0	0	0	-	0	0	0	0	0	0	0	+	-	-	-	-	-	-	-	2	0	0	0	0	0	0	0
t	0	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	+	+	-	-	-	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-	1	0	0	0	0	0	0	0
d	0	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	+	+	-	-	-	0	0	0	0	0	0	0	+	-	-	-	-	-	-	-	2	0	0	0	0	0	0	0
ʈ	0	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	+	-	-	-	-	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-	1	0	0	0	0	0	0	0
ɖ	0	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	+	-	-	-	-	0	0	0	0	0	0	0	+	-	-	-	-	-	-	-	2	0	0	0	0	0	0	0
ȶ	0	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	+	+	+	-	+	+	-	+	-	0	0	0	-	-	-	-	-	-	-	-	1	0	0	0	0	0	0	0
c	0	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	+	-	+	-	+	+	-	+	-	0	0	0	-	-	-	-	-	-	-	-	1	0	0	0	0	0	0	0
ɟ	0	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	+	-	+	-	+	+	-	+	-	0	0	0	+	-	-	-	-	-	-	-	2	0	0	0	0	0	0	0
k	0	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	-	0	0	0	+	+	-	-	-	0	0	0	-	-	-	-	-	-	-	-	1	0	0	0	0	0	0	0
ɡ	0	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	-	0	0	0	+	+	-	-	-	0	0	0	+	-	-	-	-	-	-	-	2	0	0	0	0	0	0	0
q	0	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	-	0	0	0	+	-	-	-	+	0	0	0	-	-	-	-	-	-	-	-	1	0	0	0	0	0	0	0
ɢ	0	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	-	0	0	0	+	-	-	-	+	0	0	0	+	-	-	-	-	-	-	-	2	0	0	0	0	0	0	0
ʡ	0	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	-	0	0	0	-	0	0	0	0	0	0	0	-	+	-	-	-	-	-	-	1	0	0	0	0	0	0	0
ʔ	0	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	-	0	0	0	-	0	0	0	0	0	0	0	-	-	-	+	-	-	-	-	1	0	0	0	0	0	0	0
ɓ	0	-	-	-	-	+	-	-	-	-	-	-	-	-	+	-	-	-	0	0	0	-	0	0	0	0	0	0	0	+	-	-	-	-	-	+	-	2	0	0	0	0	0	0	0
